"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DK1","Actual Total Load [MW] - BZN|DK1"
"01.01.2022 00:00 - 01.01.2022 01:00","2027","2029"
"01.01.2022 01:00 - 01.01.2022 02:00","1962","1974"
"01.01.2022 02:00 - 01.01.2022 03:00","1889","1934"
"01.01.2022 03:00 - 01.01.2022 04:00","1857","1882"
"01.01.2022 04:00 - 01.01.2022 05:00","1824","1850"
"01.01.2022 05:00 - 01.01.2022 06:00","1831","1844"
"01.01.2022 06:00 - 01.01.2022 07:00","1887","1891"
"01.01.2022 07:00 - 01.01.2022 08:00","1966","1965"
"01.01.2022 08:00 - 01.01.2022 09:00","2045","2074"
"01.01.2022 09:00 - 01.01.2022 10:00","2161","2169"
"01.01.2022 10:00 - 01.01.2022 11:00","2273","2260"
"01.01.2022 11:00 - 01.01.2022 12:00","2334","2319"
"01.01.2022 12:00 - 01.01.2022 13:00","2343","2352"
"01.01.2022 13:00 - 01.01.2022 14:00","2344","2375"
"01.01.2022 14:00 - 01.01.2022 15:00","2374","2350"
"01.01.2022 15:00 - 01.01.2022 16:00","2368","2378"
"01.01.2022 16:00 - 01.01.2022 17:00","2524","2505"
"01.01.2022 17:00 - 01.01.2022 18:00","2675","2668"
"01.01.2022 18:00 - 01.01.2022 19:00","2605","2619"
"01.01.2022 19:00 - 01.01.2022 20:00","2459","2436"
"01.01.2022 20:00 - 01.01.2022 21:00","2323","2359"
"01.01.2022 21:00 - 01.01.2022 22:00","2262","2286"
"01.01.2022 22:00 - 01.01.2022 23:00","2226","2171"
"01.01.2022 23:00 - 02.01.2022 00:00","2144","2093"
"02.01.2022 00:00 - 02.01.2022 01:00","2050","2048"
"02.01.2022 01:00 - 02.01.2022 02:00","1992","1933"
"02.01.2022 02:00 - 02.01.2022 03:00","1949","1899"
"02.01.2022 03:00 - 02.01.2022 04:00","1948","1907"
"02.01.2022 04:00 - 02.01.2022 05:00","1927","1876"
"02.01.2022 05:00 - 02.01.2022 06:00","1943","1943"
"02.01.2022 06:00 - 02.01.2022 07:00","2022","1989"
"02.01.2022 07:00 - 02.01.2022 08:00","2182","2117"
"02.01.2022 08:00 - 02.01.2022 09:00","2331","2286"
"02.01.2022 09:00 - 02.01.2022 10:00","2428","2373"
"02.01.2022 10:00 - 02.01.2022 11:00","2468","2462"
"02.01.2022 11:00 - 02.01.2022 12:00","2506","2496"
"02.01.2022 12:00 - 02.01.2022 13:00","2509","2500"
"02.01.2022 13:00 - 02.01.2022 14:00","2489","2510"
"02.01.2022 14:00 - 02.01.2022 15:00","2486","2490"
"02.01.2022 15:00 - 02.01.2022 16:00","2546","2572"
"02.01.2022 16:00 - 02.01.2022 17:00","2734","2694"
"02.01.2022 17:00 - 02.01.2022 18:00","2906","2895"
"02.01.2022 18:00 - 02.01.2022 19:00","2805","2782"
"02.01.2022 19:00 - 02.01.2022 20:00","2617","2616"
"02.01.2022 20:00 - 02.01.2022 21:00","2455","2471"
"02.01.2022 21:00 - 02.01.2022 22:00","2347","2371"
"02.01.2022 22:00 - 02.01.2022 23:00","2304","2266"
"02.01.2022 23:00 - 03.01.2022 00:00","2227","2141"
"03.01.2022 00:00 - 03.01.2022 01:00","2042","2049"
"03.01.2022 01:00 - 03.01.2022 02:00","2000","2070"
"03.01.2022 02:00 - 03.01.2022 03:00","2019","2075"
"03.01.2022 03:00 - 03.01.2022 04:00","2068","2065"
"03.01.2022 04:00 - 03.01.2022 05:00","2123","2105"
"03.01.2022 05:00 - 03.01.2022 06:00","2250","2218"
"03.01.2022 06:00 - 03.01.2022 07:00","2621","2645"
"03.01.2022 07:00 - 03.01.2022 08:00","3051","3028"
"03.01.2022 08:00 - 03.01.2022 09:00","3191","3202"
"03.01.2022 09:00 - 03.01.2022 10:00","3127","3138"
"03.01.2022 10:00 - 03.01.2022 11:00","3172","3202"
"03.01.2022 11:00 - 03.01.2022 12:00","3245","3246"
"03.01.2022 12:00 - 03.01.2022 13:00","3189","3176"
"03.01.2022 13:00 - 03.01.2022 14:00","3159","3130"
"03.01.2022 14:00 - 03.01.2022 15:00","3134","3118"
