# Renewables.ninja Wind power (Point API) - 56.143, 7.591 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Etc/GMT-1, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Etc/GMT-1", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "56.14337193750617", "lon": "7.590816218472536", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "capacity": "1", "height": "130", "turbine": "Vestas V90 2000", "raw": true}}
time,local_time,electricity,wind_speed
2021-01-01 00:00,2021-01-01 01:00,0.182,5.617
2021-01-01 01:00,2021-01-01 02:00,0.138,5.135
2021-01-01 02:00,2021-01-01 03:00,0.100,4.644
2021-01-01 03:00,2021-01-01 04:00,0.064,4.099
2021-01-01 04:00,2021-01-01 05:00,0.041,3.624
2021-01-01 05:00,2021-01-01 06:00,0.025,3.225
2021-01-01 06:00,2021-01-01 07:00,0.014,2.880
2021-01-01 07:00,2021-01-01 08:00,0.009,2.665
2021-01-01 08:00,2021-01-01 09:00,0.008,2.619
2021-01-01 09:00,2021-01-01 10:00,0.010,2.711
2021-01-01 10:00,2021-01-01 11:00,0.012,2.805
2021-01-01 11:00,2021-01-01 12:00,0.016,2.956
2021-01-01 12:00,2021-01-01 13:00,0.022,3.148
2021-01-01 13:00,2021-01-01 14:00,0.030,3.378
2021-01-01 14:00,2021-01-01 15:00,0.038,3.572
2021-01-01 15:00,2021-01-01 16:00,0.047,3.779
2021-01-01 16:00,2021-01-01 17:00,0.061,4.037
2021-01-01 17:00,2021-01-01 18:00,0.074,4.267
2021-01-01 18:00,2021-01-01 19:00,0.082,4.378
2021-01-01 19:00,2021-01-01 20:00,0.081,4.365
2021-01-01 20:00,2021-01-01 21:00,0.072,4.224
2021-01-01 21:00,2021-01-01 22:00,0.061,4.034
2021-01-01 22:00,2021-01-01 23:00,0.054,3.908
2021-01-01 23:00,2021-01-02 00:00,0.051,3.850
2021-01-02 00:00,2021-01-02 01:00,0.048,3.792
2021-01-02 01:00,2021-01-02 02:00,0.047,3.780
2021-01-02 02:00,2021-01-02 03:00,0.052,3.860
2021-01-02 03:00,2021-01-02 04:00,0.067,4.135
2021-01-02 04:00,2021-01-02 05:00,0.089,4.497
2021-01-02 05:00,2021-01-02 06:00,0.120,4.919
2021-01-02 06:00,2021-01-02 07:00,0.159,5.374
