"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"01.01.2022 00:00 - 01.01.2022 01:00","0","N/A","0","830","N/A","1000","793","N/A","863"
"01.01.2022 01:00 - 01.01.2022 02:00","0","N/A","0","871","N/A","957","799","N/A","927"
"01.01.2022 02:00 - 01.01.2022 03:00","0","N/A","0","833","N/A","850","790","N/A","920"
"01.01.2022 03:00 - 01.01.2022 04:00","0","N/A","0","647","N/A","890","716","N/A","729"
"01.01.2022 04:00 - 01.01.2022 05:00","0","N/A","0","569","N/A","792","594","N/A","728"
"01.01.2022 05:00 - 01.01.2022 06:00","0","N/A","0","430","N/A","693","424","N/A","657"
"01.01.2022 06:00 - 01.01.2022 07:00","0","N/A","0","326","N/A","751","319","N/A","503"
"01.01.2022 07:00 - 01.01.2022 08:00","0","N/A","0","253","N/A","592","246","N/A","418"
"01.01.2022 08:00 - 01.01.2022 09:00","0","0","0","193","612","616","191","237","237"
"01.01.2022 09:00 - 01.01.2022 10:00","4","5","6","135","460","197","151","197","196"
"01.01.2022 10:00 - 01.01.2022 11:00","17","20","28","116","310","111","114","179","112"
"01.01.2022 11:00 - 01.01.2022 12:00","32","36","51","132","321","237","115","201","124"
"01.01.2022 12:00 - 01.01.2022 13:00","34","38","48","206","356","302","169","278","229"
"01.01.2022 13:00 - 01.01.2022 14:00","25","25","30","364","423","468","237","359","337"
"01.01.2022 14:00 - 01.01.2022 15:00","11","10","13","524","561","548","339","500","488"
"01.01.2022 15:00 - 01.01.2022 16:00","2","2","2","661","754","791","536","714","681"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","0","765","879","904","805","986","1049"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0","931","1038","979","1159","1336","1607"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0","1027","1063","967","1563","1663","1990"
